feature,importance
11,0.48133811560576134
14,0.24653103396367892
9,0.2388584599807916
5,0.17264009560051274
13,0.13949463838725445
18,0.13478476937298445
12,0.11364159483407466
22,0.11008512691879886
10,0.09831843251722681
20,0.09423718407006752
21,0.07136484081108917
25,0.05954739124990443
2,0.044724743988963145
6,0.04160981329308071
1,0.030532026373789833
0,0.027191306556152043
19,0.02597269890329542
4,0.02322881116116908
26,0.014526544455703583
8,0.012896266352112435
27,0.011513423461758727
16,0.008040358496783487
15,0.007099238561756608
17,0.0031872357443779326
3,0.0030305439506177266
7,0.0009313021297686305
23,0.000529430565050188
24,0.00021350747364358745
